Subj,Cond,Feat,Trials,Accuracy,TA1,TA2,TA3,TA4,TA5,TB1,TB2,TB3,TB4,TB5,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,CA,FR
2,VB,5,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,B,A,A,A,B,B,B,A,A,B,B,B,B,0.9,0.1
4,NV,2,60,0.50,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,B,B,B,B,B,0.5,0.5
6,VB,1,103,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,1,0
8,NV,2,63,0.60,A,A,A,A,B,A,B,A,B,A,B,B,B,B,B,A,A,A,B,A,B,B,B,B,A,B,B,B,B,A,0.9,0.1
10,NV,2,60,0.30,B,A,B,B,A,A,B,A,A,A,B,B,B,A,B,B,A,A,B,B,A,A,A,B,A,A,A,B,A,B,0.6,0.4
12,NV,4,131,0.80,A,B,A,A,A,B,A,B,B,B,A,B,A,A,A,B,A,B,B,B,B,B,B,A,A,A,A,A,A,B,0.2,0.8
14,VB,5,171,0.60,B,B,B,A,A,B,B,B,A,B,A,B,B,B,B,B,A,B,A,A,A,A,B,A,B,B,A,B,A,B,0.7,0.3
16,VB,5,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,B,B,B,A,B,B,A,A,B,1,0
18,NV,5,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,A,A,B,A,B,1,0
20,VB,3,115,0.80,A,A,B,A,A,B,B,B,A,B,A,A,B,A,A,B,B,B,B,B,B,A,A,B,A,A,B,A,B,B,0.1,0.9
22,NV,1,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,A,B,B,A,A,A,A,A,B,A,A,A,A,B,B,A,A,A,0.9,0.1
24,VB,1,64,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,B,A,A,B,A,B,A,1,0
26,NV,3,206,0.80,A,A,B,A,A,B,B,A,B,B,B,B,B,B,A,A,A,A,A,A,B,A,B,B,A,B,A,B,B,B,0.9,0.1
28,VB,4,127,0.80,A,A,B,A,A,B,B,A,B,B,A,A,B,A,A,B,B,A,B,B,A,A,B,A,A,B,B,A,A,B,0.2,0.8
30,VB,5,67,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,B,B,B,B,A,B,B,B,B,B,1,0
32,VB,2,185,0.80,A,A,B,A,A,B,B,A,B,B,A,B,B,A,A,B,B,A,B,B,A,A,A,A,A,A,A,B,B,A,0.3,0.7
34,NV,2,60,0.60,B,B,A,A,A,A,A,B,B,B,B,B,A,B,B,A,A,A,A,B,B,A,A,A,B,B,B,A,A,B,0.8,0.2
38,VB,3,60,0.90,A,A,A,A,A,B,B,A,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,B,A,A,B,B,A,B,0.7,0.3
42,VB,4,64,0.70,A,A,B,B,A,B,B,A,B,B,A,A,B,B,A,B,B,A,B,B,A,B,A,A,A,B,B,A,A,A,0.3,0.7
44,VB,4,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,B,B,B,A,B,B,B,B,B,B,1,0
46,VB,3,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,B,B,A,A,B,B,A,B,B,B,1,0
48,NV,3,66,0.80,A,A,A,A,B,B,B,B,B,A,A,A,A,A,B,B,B,A,B,A,B,A,A,A,A,A,B,B,B,B,0.3,0.7
50,VB,3,70,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,B,B,A,A,A,A,A,B,B,B,B,B,0.8,0.2
52,VB,3,66,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,B,B,B,A,1,0
54,VB,3,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,1,0
56,NV,5,60,0.50,B,B,B,B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,0.4,0.6
58,NV,3,62,0.90,A,A,A,A,B,B,B,B,B,B,A,A,A,B,B,B,B,B,B,A,A,A,A,B,A,B,B,B,B,B,0.3,0.7
60,VB,5,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,B,A,A,A,B,A,A,A,A,B,A,B,A,B,0.9,0.1
62,VB,5,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,B,A,A,A,A,A,A,B,A,A,A,B,A,B,0.9,0.1
64,VB,5,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,B,A,A,A,A,B,B,A,B,1,0
66,NV,4,103,0.70,A,A,A,B,A,B,A,B,A,B,A,A,A,A,A,B,A,B,A,B,B,A,B,A,A,A,B,A,B,B,0.2,0.8
68,NV,2,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,A,B,B,A,A,A,A,A,A,A,B,B,A,A,B,A,B,B,0.9,0.1
70,VB,2,60,0.90,B,A,A,A,A,B,B,B,B,B,B,B,A,B,B,A,A,A,A,A,B,A,A,B,B,A,B,A,A,B,0.9,0.1
72,NV,2,60,0.50,B,B,B,B,B,B,B,B,B,B,A,A,B,B,A,B,B,A,B,B,A,A,B,A,A,B,A,A,B,A,0.3,0.7
74,VB,1,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,1,0
76,NV,3,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,B,B,A,B,B,B,B,B,B,B,1,0
78,NV,4,97,0.80,A,A,A,B,A,B,B,B,A,B,A,A,A,A,A,B,B,B,A,B,B,A,B,B,B,A,B,A,A,A,0.1,0.9
80,NV,5,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,1,0
82,NV,5,60,0.70,A,B,A,A,A,A,B,B,A,B,B,B,B,B,B,B,A,A,A,A,B,A,B,A,B,B,A,B,B,B,0.9,0.1
84,VB,3,60,0.90,B,A,A,A,A,B,B,B,B,B,B,B,A,B,B,A,A,A,A,A,A,A,A,B,B,B,B,B,B,B,0.9,0.1
86,VB,2,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,1,0
88,NV,2,151,0.80,A,B,A,A,A,B,A,B,B,B,A,B,B,A,A,B,A,B,B,B,B,B,A,B,B,A,B,A,B,B,0.3,0.7
90,VB,1,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,B,A,A,B,B,A,B,A,B,1,0
92,VB,3,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,1,0
94,NV,4,106,0.80,A,B,A,A,A,B,A,B,B,B,A,B,A,A,A,B,A,B,B,B,A,A,B,A,A,B,B,A,A,B,0.2,0.8
96,NV,1,73,0.80,A,A,A,B,A,B,B,B,A,B,A,A,A,B,A,B,B,B,A,B,B,B,B,A,B,B,B,B,B,B,0.2,0.8
98,NV,4,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,1,0
100,NV,1,60,0.90,A,B,A,A,A,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,A,A,A,A,A,A,B,B,B,B,0,1
102,NV,1,133,0.80,A,A,A,A,B,B,B,B,B,A,A,A,A,A,B,B,B,B,B,A,A,B,A,A,A,A,B,A,A,B,0.2,0.8
104,NV,2,60,1.00,A,A,A,A,A,B,B,B,B,B,A,B,A,B,B,A,A,A,A,A,A,A,A,A,A,B,B,A,B,B,0.8,0.2
106,NV,1,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,B,B,A,B,A,B,A,A,1,0
108,VB,4,104,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,B,A,B,B,B,B,B,B,1,0
110,NV,1,80,0.70,B,A,A,A,A,B,B,B,A,A,A,A,A,A,A,B,B,B,B,A,B,B,B,A,A,A,B,B,B,B,0.1,0.9
112,VB,3,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,1,0
114,VB,4,60,0.60,A,A,A,B,B,A,B,B,A,B,B,B,B,A,B,A,A,A,B,A,B,B,A,A,B,A,B,A,A,A,0.8,0.2
116,NV,3,62,0.70,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,B,A,A,A,A,A,B,B,A,B,B,B,B,B,B,0.4,0.6
118,VB,3,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,B,A,A,A,B,B,A,B,A,B,1,0
120,VB,1,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,B,A,B,A,B,1,0
122,VB,4,305,0.70,A,A,A,A,B,B,A,B,A,B,A,A,A,A,B,B,B,B,B,A,B,B,A,A,B,A,A,B,B,B,0.2,0.8
124,NV,1,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,B,B,A,A,B,B,B,A,A,1,0
126,VB,5,83,0.90,A,A,B,A,A,B,B,B,B,B,A,A,B,B,A,B,B,A,B,B,A,A,B,B,B,B,B,B,A,B,0.3,0.7
128,VB,2,87,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,A,B,B,B,A,A,A,1,0
130,NV,3,103,0.80,A,A,A,B,B,B,B,B,B,B,A,A,A,B,B,B,B,B,B,B,B,A,A,A,B,B,B,B,A,B,0.2,0.8
132,VB,5,60,1.00,A,A,A,A,A,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A,A,A,B,A,A,B,B,A,A,B,1,0
138,NV,3,138,0.90,A,A,A,A,A,B,B,B,A,B,A,A,A,B,A,B,B,B,A,B,A,A,B,B,A,B,B,B,A,B,0.2,0.8
170,NV,2,198,0.80,A,A,A,B,B,B,B,B,B,B,A,A,A,B,B,B,B,B,B,A,A,A,A,A,A,B,A,B,A,B,0.3,0.7
174,NV,4,160,0.80,A,B,A,A,A,B,A,B,B,B,A,A,A,A,A,B,A,B,B,B,B,A,A,B,A,B,B,B,B,B,0.1,0.9
176,NV,1,151,0.90,A,A,A,A,A,B,B,B,B,A,A,A,B,B,B,B,B,A,B,A,B,A,A,A,A,A,A,A,A,A,0.5,0.5
